region,fueltech,interval,power,emissions
NSW1,bioenergy,2026-08-10 12:30:00+10:00,21.612366666666663,0.347
NSW1,bioenergy,2026-08-10 13:00:00+10:00,21.497833333333332,0.3445
NSW1,bioenergy,2026-08-10 13:30:00+10:00,21.490616666666668,0.3443
NSW1,bioenergy,2026-08-10 14:00:00+10:00,22.441666666666666,0.3591
NSW1,bioenergy,2026-08-10 14:30:00+10:00,21.479533333333332,0.3444
NSW1,bioenergy,2026-08-10 15:00:00+10:00,25.834766666666667,0.4085
NSW1,bioenergy,2026-08-10 15:30:00+10:00,35.119483333333335,0.5687
NSW1,bioenergy,2026-08-10 16:00:00+10:00,38.15595,0.6294
NSW1,bioenergy,2026-08-10 16:30:00+10:00,37.885133333333336,0.6273
NSW1,bioenergy,2026-08-10 17:00:00+10:00,39.3326,0.6505000000000001
NSW1,bioenergy,2026-08-10 17:30:00+10:00,40.102833333333336,0.6658
NSW1,bioenergy,2026-08-10 18:00:00+10:00,41.1295,0.6852
NSW1,bioenergy,2026-08-10 18:30:00+10:00,41.42783333333333,0.6913
NSW1,bioenergy,2026-08-10 19:00:00+10:00,41.83385,0.6981
NSW1,bioenergy,2026-08-10 19:30:00+10:00,42.13475,0.704
NSW1,bioenergy,2026-08-10 20:00:00+10:00,42.14933333333334,0.7037
NSW1,bioenergy,2026-08-10 20:30:00+10:00,41.497366666666665,0.6926
NSW1,bioenergy,2026-08-10 21:00:00+10:00,41.90136666666667,0.7001999999999999
NSW1,bioenergy,2026-08-10 21:30:00+10:00,42.2652,0.7063
NSW1,bioenergy,2026-08-10 22:00:00+10:00,40.3005,0.6731
NSW1,bioenergy,2026-08-10 22:30:00+10:00,42.68765,0.7081
NSW1,bioenergy,2026-08-10 23:00:00+10:00,44.60073333333333,0.7401
NSW1,bioenergy,2026-08-10 23:30:00+10:00,43.1376,0.7105
NSW1,coal,2026-08-10 00:00:00+10:00,5723.42695,2550.1925
NSW1,coal,2026-08-10 00:30:00+10:00,5469.850833333334,2459.0197
NSW1,coal,2026-08-10 01:00:00+10:00,5190.084733333333,2325.5009
NSW1,coal,2026-08-10 01:30:00+10:00,4959.546283333333,2219.0584
NSW1,coal,2026-08-10 02:00:00+10:00,4716.181333333333,2105.2106
NSW1,coal,2026-08-10 02:30:00+10:00,4484.4865666666665,2005.0506
NSW1,coal,2026-08-10 03:00:00+10:00,4450.6438,1967.6003999999998
NSW1,coal,2026-08-10 03:30:00+10:00,4597.356699999999,2049.5094
NSW1,coal,2026-08-10 04:00:00+10:00,4688.989066666666,2080.7848
NSW1,coal,2026-08-10 04:30:00+10:00,4915.1898833333335,2189.6453
NSW1,coal,2026-08-10 05:00:00+10:00,4993.917383333333,2222.5927
NSW1,coal,2026-08-10 05:30:00+10:00,5151.5586,2295.1775
NSW1,coal,2026-08-10 06:00:00+10:00,5466.9002666666665,2417.0191
NSW1,coal,2026-08-10 06:30:00+10:00,5900.924800000001,2621.0005
NSW1,coal,2026-08-10 07:00:00+10:00,6168.100983333334,2741.6204
NSW1,coal,2026-08-10 07:30:00+10:00,6326.038566666666,2821.7295
NSW1,coal,2026-08-10 08:00:00+10:00,6306.702316666667,2813.4058999999997
NSW1,coal,2026-08-10 08:30:00+10:00,6190.26555,2767.2711
NSW1,coal,2026-08-10 09:00:00+10:00,5978.681433333334,2678.9426
NSW1,coal,2026-08-10 09:30:00+10:00,5789.138750000001,2587.5713
NSW1,coal,2026-08-10 10:00:00+10:00,5607.9577,2501.8791
NSW1,coal,2026-08-10 10:30:00+10:00,5446.3058,2433.1564
NSW1,coal,2026-08-10 11:00:00+10:00,5434.583816666666,2418.5651
NSW1,coal,2026-08-10 11:30:00+10:00,5465.203966666667,2447.9856
NSW1,coal,2026-08-10 12:00:00+10:00,5232.35355,2339.705
NSW1,coal,2026-08-10 12:30:00+10:00,5101.44245,2275.9619
NSW1,coal,2026-08-10 13:00:00+10:00,5099.705016666667,2269.6549
NSW1,coal,2026-08-10 13:30:00+10:00,4942.43035,2207.388
NSW1,coal,2026-08-10 14:00:00+10:00,4673.77725,2094.1647000000003
NSW1,coal,2026-08-10 14:30:00+10:00,4486.47275,1988.2836
NSW1,coal,2026-08-10 15:00:00+10:00,4585.9383,2043.5336
NSW1,coal,2026-08-10 15:30:00+10:00,4887.208483333333,2153.8759999999997
NSW1,coal,2026-08-10 16:00:00+10:00,5615.959749999999,2462.8183
NSW1,coal,2026-08-10 16:30:00+10:00,6297.272516666667,2780.4345
NSW1,coal,2026-08-10 17:00:00+10:00,6549.422416666667,2918.0337
NSW1,coal,2026-08-10 17:30:00+10:00,6589.09185,2933.2465
NSW1,coal,2026-08-10 18:00:00+10:00,6637.851433333333,2957.2087
NSW1,coal,2026-08-10 18:30:00+10:00,6625.542583333333,2951.9586
NSW1,coal,2026-08-10 19:00:00+10:00,6610.68235,2945.5731
NSW1,coal,2026-08-10 19:30:00+10:00,6641.175966666667,2957.7052
NSW1,coal,2026-08-10 20:00:00+10:00,6659.6008,2968.7382
NSW1,coal,2026-08-10 20:30:00+10:00,6670.330883333333,2969.5576
NSW1,coal,2026-08-10 21:00:00+10:00,6637.977666666667,2960.8971
NSW1,coal,2026-08-10 21:30:00+10:00,6508.9758,2904.8796
